action,table,rows_accessed,status,timestamp,risk_label
SELECT,orders,9714,success,2026-03-24 06:21:39.066105,0
SELECT,orders,4592,success,2026-03-27 05:53:39.067104,0
DELETE,orders,5416,failed,2026-03-24 19:11:39.067104,1
SELECT,logs,7311,success,2026-03-29 17:07:39.067104,0
UPDATE,users,545,failed,2026-03-27 06:17:39.067104,0
UPDATE,orders,1034,success,2026-03-28 12:27:39.067104,0
INSERT,payments,6089,failed,2026-03-28 06:08:39.067104,1
DELETE,orders,2484,success,2026-03-24 18:58:39.067104,0
DELETE,users,1074,failed,2026-03-27 00:27:39.067104,1
DELETE,orders,9495,failed,2026-03-27 15:56:39.067104,1
INSERT,users,3272,failed,2026-03-30 10:32:39.067104,0
UPDATE,orders,7263,failed,2026-03-29 11:29:39.067104,1
DELETE,users,934,failed,2026-03-28 17:49:39.067104,1
SELECT,orders,2814,failed,2026-03-30 05:22:39.067104,0
INSERT,orders,558,failed,2026-03-25 02:49:39.067104,0
INSERT,payments,2671,success,2026-03-24 23:17:39.067104,0
DELETE,users,8469,success,2026-03-27 11:50:39.067610,1
SELECT,orders,5848,failed,2026-03-26 21:08:39.067610,1
EXPORT,logs,1047,failed,2026-03-29 11:51:39.067610,1
SELECT,orders,7154,failed,2026-03-28 06:28:39.067610,1
DELETE,users,6216,failed,2026-03-28 07:16:39.067610,1
INSERT,users,4617,success,2026-03-27 18:39:39.067610,0
SELECT,users,1595,failed,2026-03-27 10:35:39.067610,0
DELETE,orders,932,success,2026-03-29 17:45:39.067610,0
SELECT,orders,4209,failed,2026-03-30 16:48:39.067610,0
SELECT,logs,8047,success,2026-03-27 07:20:39.067610,0
EXPORT,orders,4134,failed,2026-03-29 23:08:39.067610,1
SELECT,users,6850,success,2026-03-26 15:23:39.067610,0
EXPORT,payments,6175,success,2026-03-26 18:19:39.067610,1
DELETE,users,6927,failed,2026-03-28 06:36:39.067610,1
UPDATE,payments,5959,failed,2026-03-26 13:53:39.067610,1
INSERT,users,6265,success,2026-03-29 09:27:39.067610,0
INSERT,payments,1924,failed,2026-03-24 08:39:39.067610,0
DELETE,users,6430,failed,2026-03-24 20:57:39.067610,1
UPDATE,logs,1586,success,2026-03-26 08:59:39.067610,0
DELETE,orders,3955,success,2026-03-24 22:47:39.067610,0
INSERT,users,1932,failed,2026-03-25 07:08:39.067610,0
SELECT,orders,2372,success,2026-03-26 22:57:39.067610,0
SELECT,payments,2601,success,2026-03-27 01:06:39.067610,0
DELETE,logs,2888,failed,2026-03-24 05:54:39.067610,0
INSERT,logs,3514,failed,2026-03-27 20:21:39.067610,0
DELETE,logs,6669,success,2026-03-26 01:40:39.067610,0
EXPORT,logs,3711,failed,2026-03-27 00:42:39.067610,1
UPDATE,payments,3023,success,2026-03-24 18:24:39.067610,0
UPDATE,orders,7228,success,2026-03-24 03:44:39.067610,0
INSERT,orders,8876,success,2026-03-28 06:46:39.067610,0
INSERT,users,313,success,2026-03-30 01:07:39.067610,0
UPDATE,users,3214,success,2026-03-30 17:27:39.067610,0
EXPORT,orders,6961,success,2026-03-27 22:32:39.067610,1
EXPORT,logs,6960,success,2026-03-24 21:47:39.068620,1
SELECT,orders,9094,failed,2026-03-24 00:51:39.068620,1
DELETE,payments,4414,success,2026-03-28 16:48:39.068620,0
EXPORT,logs,1533,success,2026-03-29 13:02:39.068620,1
UPDATE,logs,4784,success,2026-03-26 07:33:39.068620,0
EXPORT,users,805,success,2026-03-28 20:21:39.068620,0
DELETE,payments,5134,failed,2026-03-25 02:01:39.068620,1
EXPORT,users,3040,success,2026-03-25 00:31:39.068620,1
SELECT,logs,2590,success,2026-03-25 20:39:39.068620,0
DELETE,users,3392,failed,2026-03-24 20:16:39.068620,1
DELETE,orders,6726,success,2026-03-24 12:15:39.068620,0
SELECT,logs,6703,success,2026-03-25 09:59:39.068620,0
INSERT,orders,4334,success,2026-03-27 01:19:39.068620,0
EXPORT,payments,796,success,2026-03-29 08:58:39.068620,0
DELETE,logs,8182,success,2026-03-28 12:01:39.068620,0
EXPORT,payments,6100,failed,2026-03-25 08:22:39.068620,1
SELECT,orders,5173,failed,2026-03-29 09:38:39.068620,1
SELECT,payments,7060,failed,2026-03-24 22:03:39.068620,1
DELETE,orders,5019,failed,2026-03-24 03:09:39.068620,1
EXPORT,logs,6027,success,2026-03-24 10:55:39.068620,1
INSERT,logs,7755,success,2026-03-28 14:35:39.068620,0
SELECT,payments,2183,success,2026-03-25 09:54:39.068620,0
SELECT,users,2515,failed,2026-03-30 01:24:39.068620,0
SELECT,logs,8830,failed,2026-03-25 08:58:39.068620,1
EXPORT,orders,6111,failed,2026-03-27 19:01:39.068620,1
DELETE,logs,5877,success,2026-03-26 15:54:39.068620,0
UPDATE,payments,8148,success,2026-03-29 07:08:39.068620,0
SELECT,payments,839,failed,2026-03-25 23:40:39.068620,0
EXPORT,logs,5393,success,2026-03-25 23:56:39.068620,1
INSERT,logs,7738,success,2026-03-27 15:36:39.068620,0
UPDATE,orders,8960,failed,2026-03-24 22:38:39.068620,1
UPDATE,users,6616,failed,2026-03-29 14:23:39.068620,1
INSERT,users,5650,failed,2026-03-29 18:16:39.068620,1
DELETE,orders,4501,success,2026-03-24 00:47:39.068620,0
UPDATE,users,4408,failed,2026-03-27 06:13:39.069620,0
INSERT,logs,8577,success,2026-03-26 17:21:39.069620,0
DELETE,users,6448,success,2026-03-24 09:34:39.069620,1
UPDATE,payments,9411,failed,2026-03-30 15:41:39.069620,1
INSERT,users,6249,failed,2026-03-29 14:34:39.069620,1
SELECT,logs,2796,success,2026-03-26 14:06:39.069620,0
INSERT,orders,9198,success,2026-03-25 14:37:39.069620,0
SELECT,logs,5052,success,2026-03-26 02:07:39.069620,0
DELETE,orders,8457,failed,2026-03-29 17:10:39.069620,1
DELETE,payments,9885,success,2026-03-24 08:27:39.069620,0
INSERT,users,1289,failed,2026-03-29 21:01:39.069620,0
UPDATE,users,9610,success,2026-03-26 14:44:39.069620,0
INSERT,payments,1238,failed,2026-03-29 12:57:39.069620,0
DELETE,orders,4039,failed,2026-03-25 18:23:39.069620,0
UPDATE,payments,3259,success,2026-03-30 12:12:39.069620,0
INSERT,payments,2227,success,2026-03-29 15:36:39.069620,0
UPDATE,payments,4837,success,2026-03-29 15:28:39.069620,0
SELECT,users,5183,success,2026-03-29 19:58:39.069620,0
EXPORT,logs,2370,failed,2026-03-29 22:56:39.069620,1
SELECT,payments,6727,failed,2026-03-23 22:15:39.069620,1
UPDATE,orders,1076,success,2026-03-28 05:46:39.069620,0
SELECT,orders,8213,failed,2026-03-27 09:14:39.069620,1
SELECT,users,4780,success,2026-03-24 07:20:39.069620,0
SELECT,payments,233,success,2026-03-26 19:34:39.069620,0
INSERT,orders,7639,success,2026-03-28 21:39:39.069620,0
INSERT,orders,1240,success,2026-03-26 13:47:39.069620,0
INSERT,logs,3481,failed,2026-03-29 03:58:39.069620,0
INSERT,logs,3928,failed,2026-03-26 22:52:39.069620,0
UPDATE,users,8539,success,2026-03-30 00:59:39.069620,0
DELETE,logs,7651,success,2026-03-30 03:39:39.069620,0
SELECT,orders,4963,failed,2026-03-24 11:54:39.069620,0
EXPORT,payments,9666,success,2026-03-28 10:00:39.069620,1
SELECT,payments,4017,failed,2026-03-29 03:01:39.069620,0
EXPORT,payments,6388,success,2026-03-25 23:08:39.070628,1
SELECT,payments,130,success,2026-03-29 13:38:39.070628,0
DELETE,users,1231,failed,2026-03-29 03:04:39.070628,1
INSERT,logs,8071,success,2026-03-26 17:45:39.070628,0
EXPORT,logs,7471,failed,2026-03-30 07:46:39.070628,1
SELECT,orders,8732,failed,2026-03-27 10:45:39.070628,1
INSERT,users,4524,failed,2026-03-29 20:35:39.070628,0
DELETE,users,2018,success,2026-03-28 17:35:39.070628,1
DELETE,users,4276,success,2026-03-27 12:12:39.070628,1
EXPORT,payments,1199,success,2026-03-29 22:41:39.070628,1
UPDATE,orders,1346,success,2026-03-26 07:03:39.070628,0
EXPORT,users,1260,failed,2026-03-28 20:19:39.070628,1
INSERT,payments,269,failed,2026-03-24 12:22:39.070628,0
INSERT,payments,9933,success,2026-03-30 13:14:39.070628,0
EXPORT,payments,7671,failed,2026-03-26 16:56:39.070628,1
DELETE,orders,1740,failed,2026-03-24 08:46:39.070628,0
SELECT,orders,5623,success,2026-03-28 00:25:39.070628,0
EXPORT,orders,2691,failed,2026-03-29 10:27:39.070628,1
SELECT,orders,5753,success,2026-03-30 15:26:39.070628,0
SELECT,payments,3013,success,2026-03-25 12:14:39.070628,0
SELECT,logs,1150,success,2026-03-24 02:01:39.070628,0
UPDATE,payments,5946,success,2026-03-28 02:33:39.070628,0
EXPORT,logs,9896,success,2026-03-24 18:53:39.070628,1
INSERT,logs,4151,success,2026-03-27 05:15:39.070628,0
SELECT,payments,7887,failed,2026-03-29 11:46:39.070628,1
INSERT,orders,5391,success,2026-03-29 19:25:39.070628,0
SELECT,logs,5779,success,2026-03-27 06:52:39.070628,0
SELECT,logs,161,success,2026-03-30 16:30:39.070628,0
DELETE,users,9545,failed,2026-03-27 01:19:39.070628,1
UPDATE,payments,6313,success,2026-03-28 21:42:39.070628,0
INSERT,logs,3218,success,2026-03-27 14:02:39.070628,0
EXPORT,orders,8482,success,2026-03-29 16:58:39.071630,1
EXPORT,users,4595,success,2026-03-25 18:36:39.071630,1
EXPORT,payments,8865,success,2026-03-23 22:39:39.071630,1
INSERT,users,6701,success,2026-03-26 14:44:39.071630,0
EXPORT,users,7142,success,2026-03-30 10:55:39.071630,1
SELECT,users,4058,failed,2026-03-25 04:09:39.071630,0
UPDATE,payments,4360,success,2026-03-26 23:08:39.071630,0
UPDATE,users,7557,failed,2026-03-27 05:26:39.071630,1
SELECT,payments,411,success,2026-03-29 13:56:39.071630,0
INSERT,logs,1791,success,2026-03-28 11:58:39.071630,0
UPDATE,logs,5970,success,2026-03-27 11:38:39.071630,0
EXPORT,users,2584,success,2026-03-25 08:06:39.071630,1
DELETE,users,6226,failed,2026-03-25 14:36:39.071630,1
UPDATE,logs,7138,failed,2026-03-28 15:15:39.071630,1
UPDATE,payments,737,success,2026-03-29 02:19:39.071630,0
DELETE,logs,7726,success,2026-03-27 02:50:39.071630,0
SELECT,users,8402,failed,2026-03-24 06:56:39.071630,1
SELECT,logs,5009,failed,2026-03-29 22:04:39.071630,1
SELECT,orders,8749,failed,2026-03-24 07:08:39.071630,1
EXPORT,users,7685,failed,2026-03-25 01:15:39.071630,1
DELETE,orders,3157,success,2026-03-26 07:53:39.071630,0
SELECT,orders,9578,failed,2026-03-28 11:09:39.071630,1
SELECT,orders,4237,failed,2026-03-26 09:58:39.071630,0
UPDATE,orders,5568,failed,2026-03-28 14:49:39.071630,1
INSERT,payments,6142,failed,2026-03-26 05:35:39.071630,1
INSERT,logs,8675,success,2026-03-24 05:00:39.071630,0
DELETE,users,9014,success,2026-03-26 09:16:39.071630,1
DELETE,logs,6629,failed,2026-03-29 22:15:39.071630,1
DELETE,logs,1495,failed,2026-03-27 03:11:39.071630,0
EXPORT,orders,392,success,2026-03-24 08:24:39.071630,0
SELECT,payments,2114,success,2026-03-28 23:51:39.071630,0
DELETE,payments,2088,failed,2026-03-24 15:56:39.071630,0
SELECT,orders,6052,success,2026-03-29 02:05:39.071630,0
EXPORT,orders,2502,success,2026-03-29 11:51:39.072629,1
DELETE,users,7349,success,2026-03-29 07:59:39.072629,1
INSERT,users,780,success,2026-03-26 03:09:39.072629,0
EXPORT,users,1178,failed,2026-03-23 22:04:39.072629,1
UPDATE,logs,8547,success,2026-03-29 12:54:39.072629,0
SELECT,orders,2108,failed,2026-03-29 13:08:39.072629,0
EXPORT,users,9692,success,2026-03-25 14:17:39.072629,1
INSERT,payments,2110,failed,2026-03-29 06:36:39.072629,0
INSERT,orders,7681,failed,2026-03-24 15:32:39.072629,1
DELETE,users,5071,failed,2026-03-25 03:18:39.072629,1
UPDATE,logs,156,failed,2026-03-25 11:26:39.072629,0
EXPORT,orders,9326,failed,2026-03-25 23:07:39.072629,1
DELETE,orders,6170,success,2026-03-28 13:31:39.072629,0
INSERT,payments,8005,success,2026-03-29 21:48:39.072629,0
EXPORT,orders,4515,success,2026-03-26 19:32:39.072629,1
SELECT,payments,6011,failed,2026-03-30 05:48:39.072629,1
INSERT,users,8152,success,2026-03-25 03:27:39.072629,0
DELETE,users,5329,success,2026-03-24 14:12:39.072629,1
INSERT,logs,5090,success,2026-03-26 05:05:39.072629,0
EXPORT,orders,9173,failed,2026-03-25 20:42:39.072629,1
SELECT,payments,3516,success,2026-03-24 12:07:39.072629,0
DELETE,orders,2609,success,2026-03-24 16:36:39.072629,0
SELECT,logs,4287,success,2026-03-24 13:01:39.072629,0
SELECT,users,8970,success,2026-03-26 19:06:39.072629,0
EXPORT,users,5951,failed,2026-03-26 16:12:39.072629,1
SELECT,logs,4140,success,2026-03-30 17:21:39.072629,0
UPDATE,users,6532,failed,2026-03-23 23:01:39.072629,1
EXPORT,orders,4272,success,2026-03-24 10:49:39.072629,1
DELETE,payments,6001,success,2026-03-28 15:06:39.072629,0
SELECT,users,7101,failed,2026-03-25 20:13:39.072629,1
SELECT,logs,8291,failed,2026-03-25 02:54:39.072629,1
UPDATE,orders,2517,success,2026-03-25 14:50:39.072629,0
UPDATE,orders,1341,success,2026-03-29 14:25:39.072629,0
SELECT,logs,7498,failed,2026-03-26 11:38:39.073630,1
EXPORT,payments,8767,success,2026-03-26 17:31:39.073630,1
DELETE,logs,1589,success,2026-03-25 11:15:39.073630,0
DELETE,users,3486,failed,2026-03-25 00:31:39.073630,1
DELETE,users,7250,success,2026-03-27 23:20:39.073630,1
EXPORT,orders,1113,failed,2026-03-25 20:10:39.073630,1
INSERT,payments,8919,failed,2026-03-25 00:40:39.073630,1
INSERT,logs,6816,failed,2026-03-25 23:13:39.073630,1
EXPORT,users,1410,success,2026-03-27 06:54:39.073630,1
UPDATE,orders,1579,success,2026-03-28 14:18:39.073630,0
UPDATE,users,3752,failed,2026-03-28 23:39:39.073630,0
DELETE,logs,3783,success,2026-03-27 21:15:39.073630,0
EXPORT,logs,5628,failed,2026-03-28 10:16:39.073630,1
DELETE,logs,2543,success,2026-03-25 19:46:39.073630,0
INSERT,payments,77,success,2026-03-27 23:21:39.073630,0
DELETE,payments,6116,failed,2026-03-26 19:46:39.073630,1
DELETE,users,683,failed,2026-03-27 20:34:39.073630,1
UPDATE,payments,9868,failed,2026-03-25 17:44:39.073630,1
INSERT,logs,3515,failed,2026-03-25 22:03:39.073630,0
UPDATE,orders,1059,failed,2026-03-26 05:23:39.073630,0
EXPORT,orders,7086,success,2026-03-25 15:41:39.073630,1
DELETE,logs,4870,failed,2026-03-25 14:09:39.073630,0
INSERT,logs,3166,failed,2026-03-28 03:25:39.073630,0
INSERT,users,1181,success,2026-03-25 07:22:39.073630,0
INSERT,payments,9244,success,2026-03-27 11:03:39.073630,0
UPDATE,users,7067,failed,2026-03-27 07:50:39.073630,1
SELECT,payments,2241,success,2026-03-29 04:04:39.073630,0
UPDATE,orders,2324,success,2026-03-24 06:50:39.073630,0
INSERT,orders,1928,success,2026-03-27 06:57:39.073630,0
DELETE,payments,297,failed,2026-03-24 14:23:39.073630,0
UPDATE,logs,3263,failed,2026-03-25 18:10:39.073630,0
EXPORT,users,6386,failed,2026-03-25 09:36:39.073630,1
SELECT,users,9754,success,2026-03-27 02:28:39.074629,0
